"fields__id","fields__label","fields__type","data__001","data__002","data__003","data__004","data__005","data__006"
"","","","Himachal Pradesh","2013","Graduate","24","14","38"
"","","","Himachal Pradesh","2013","Post Graduate and Above","4","4","8"
"","","","Himachal Pradesh","2013","Total","364","190","554"
"","","","Jammu and Kashmir","2013","No Education","33","45","78"
"","","","Jammu and Kashmir","2013","Primary","30","12","42"
"","","","Jammu and Kashmir","2013","Middle","40","26","66"
"","","","Jammu and Kashmir","2013","Matriculate/Secondary","43","35","78"
"","","","Jammu and Kashmir","2013","Hr. Secondary/Intermediate/Pre-University","18","12","30"
"","","","Jammu and Kashmir","2013","Diploma","1","0","1"
"","","","Jammu and Kashmir","2013","Graduate","2","2","4"
"","","","Jammu and Kashmir","2013","Post Graduate and Above","1","2","3"
"","","","Jammu and Kashmir","2013","Total","168","134","302"
"","","","Jharkhand","2013","No Education","225","136","361"
"","","","Jharkhand","2013","Primary","163","91","254"
"","","","Jharkhand","2013","Middle","147","95","242"
"","","","Jharkhand","2013","Matriculate/Secondary","282","92","374"
